tweet_rate,total_amount,tweet_amount,top_conv
katbrown82,2,low,Low tweet rate
katbrown82,2,low,Low tweet rate
katbrown82,2,low,Low tweet rate
PoppyCollinson,2,low,Low tweet rate
PoppyCollinson,2,low,Low tweet rate
PoppyCollinson,2,low,Low tweet rate
PoppyCollinson,2,low,Low tweet rate
PoppyCollinson,2,low,Low tweet rate
PoppyCollinson,2,low,Low tweet rate
PoppyCollinson,2,low,Low tweet rate
PoppyCollinson,2,low,Low tweet rate
PoppyCollinson,2,low,Low tweet rate
PoppyCollinson,2,low,Low tweet rate
PoppyCollinson,2,low,Low tweet rate
PoppyCollinson,2,low,Low tweet rate
PoppyCollinson,2,low,Low tweet rate
PoppyCollinson,2,low,Low tweet rate
sidhe_la,2,low,Low tweet rate
sidhe_la,2,low,Low tweet rate
TheReader76,2,low,Low tweet rate
dailypostwales,2,low,Low tweet rate
dailypostwales,2,low,Low tweet rate
lordkynaston,2,low,Low tweet rate
donnamanc,2,low,Low tweet rate
RattlyNoise,2,low,Low tweet rate
RattlyNoise,2,low,Low tweet rate
RattlyNoise,2,low,Low tweet rate
RattlyNoise,2,low,Low tweet rate
RattlyNoise,2,low,Low tweet rate
RattlyNoise,2,low,Low tweet rate
RattlyNoise,2,low,Low tweet rate
RattlyNoise,2,low,Low tweet rate
catfranlou,2,low,Low tweet rate
WindsorBlade76,2,low,Low tweet rate
WindsorBlade76,2,low,Low tweet rate
WindsorBlade76,2,low,Low tweet rate
barnage23,2,low,Low tweet rate
barnage23,2,low,Low tweet rate
josharpen,2,low,Low tweet rate
josharpen,2,low,Low tweet rate
josharpen,2,low,Low tweet rate
josharpen,2,low,Low tweet rate
callmeleighbee,2,low,Low tweet rate
aimesaimesaimes,2,low,Low tweet rate
aimesaimesaimes,2,low,Low tweet rate
thecase1907,2,low,Low tweet rate
thecase1907,2,low,Low tweet rate
thecase1907,2,low,Low tweet rate
thecase1907,2,low,Low tweet rate
thecase1907,2,low,Low tweet rate
thecase1907,2,low,Low tweet rate
thecase1907,2,low,Low tweet rate
CheetsS18,2,low,Low tweet rate
CheetsS18,2,low,Low tweet rate
livvyrhodes,2,low,Low tweet rate
livvyrhodes,2,low,Low tweet rate
livvyrhodes,2,low,Low tweet rate
unitedite,2,low,Low tweet rate
unitedite,2,low,Low tweet rate
unitedite,2,low,Low tweet rate
unitedite,2,low,Low tweet rate
unitedite,2,low,Low tweet rate
unitedite,2,low,Low tweet rate
froovyjosie,2,low,Low tweet rate
froovyjosie,2,low,Low tweet rate
froovyjosie,2,low,Low tweet rate
froovyjosie,2,low,Low tweet rate
froovyjosie,2,low,Low tweet rate
froovyjosie,2,low,Low tweet rate
spikefodder,2,low,Low tweet rate
edgiestcorner,2,low,Low tweet rate
edgiestcorner,2,low,Low tweet rate
edgiestcorner,2,low,Low tweet rate
RiverIsisPetal,2,low,Low tweet rate
rayfilar,2,low,Low tweet rate
rayfilar,2,low,Low tweet rate
rayfilar,2,low,Low tweet rate
rayfilar,2,low,Low tweet rate
rayfilar,2,low,Low tweet rate
HamnettKatie,2,low,Low tweet rate
thejack78,2,low,Low tweet rate
thejack78,2,low,Low tweet rate
marvheys,2,low,Low tweet rate
KrustyAllslopp,2,low,Low tweet rate
KrustyAllslopp,2,low,Low tweet rate
KrustyAllslopp,2,low,Low tweet rate
KrustyAllslopp,2,low,Low tweet rate
KrustyAllslopp,2,low,Low tweet rate
KrustyAllslopp,2,low,Low tweet rate
KrustyAllslopp,2,low,Low tweet rate
KrustyAllslopp,2,low,Low tweet rate
KrustyAllslopp,2,low,Low tweet rate
KrustyAllslopp,2,low,Low tweet rate
KrustyAllslopp,2,low,Low tweet rate
speedkermit,2,low,Low tweet rate
jimbo1742,2,low,Low tweet rate
kennyb0y,2,low,Low tweet rate
kennyb0y,2,low,Low tweet rate
ethicalgirl,2,low,Low tweet rate
ethicalgirl,2,low,Low tweet rate
Claire_Phipps,2,low,Low tweet rate
Claire_Phipps,2,low,Low tweet rate
Claire_Phipps,2,low,Low tweet rate
Claire_Phipps,2,low,Low tweet rate
Claire_Phipps,2,low,Low tweet rate
irishginge,2,low,Low tweet rate
irishginge,2,low,Low tweet rate
irishginge,2,low,Low tweet rate
irishginge,2,low,Low tweet rate
Paula_DVDurham,2,low,Low tweet rate
Paula_DVDurham,2,low,Low tweet rate
Paula_DVDurham,2,low,Low tweet rate
Paula_DVDurham,2,low,Low tweet rate
Paula_DVDurham,2,low,Low tweet rate
Paula_DVDurham,2,low,Low tweet rate
malekalby,2,low,Low tweet rate
claireyfairy1,2,low,Low tweet rate
jackiejones27,2,low,Low tweet rate
jackiejones27,2,low,Low tweet rate
jackiejones27,2,low,Low tweet rate
jackiejones27,2,low,Low tweet rate
Lcliffo88,2,low,Low tweet rate
Lcliffo88,2,low,Low tweet rate
Imkaan,2,low,Low tweet rate
Imkaan,2,low,Low tweet rate
Imkaan,2,low,Low tweet rate
Safe_Exit,2,low,Low tweet rate
Safe_Exit,2,low,Low tweet rate
Safe_Exit,2,low,Low tweet rate
Safe_Exit,2,low,Low tweet rate
Safe_Exit,2,low,Low tweet rate
Safe_Exit,2,low,Low tweet rate
Safe_Exit,2,low,Low tweet rate
pawzilla,2,low,Low tweet rate
pawzilla,2,low,Low tweet rate
pawzilla,2,low,Low tweet rate
pawzilla,2,low,Low tweet rate
pawzilla,2,low,Low tweet rate
pawzilla,2,low,Low tweet rate
pawzilla,2,low,Low tweet rate
pawzilla,2,low,Low tweet rate
pawzilla,2,low,Low tweet rate
pawzilla,2,low,Low tweet rate
pawzilla,2,low,Low tweet rate
Redjodie1973,2,low,Low tweet rate
Redjodie1973,2,low,Low tweet rate
Redjodie1973,2,low,Low tweet rate
cariadmartin,2,low,Low tweet rate
cariadmartin,2,low,Low tweet rate
cariadmartin,2,low,Low tweet rate
cariadmartin,2,low,Low tweet rate
cariadmartin,2,low,Low tweet rate
cariadmartin,2,low,Low tweet rate
cariadmartin,2,low,Low tweet rate
cariadmartin,2,low,Low tweet rate
cariadmartin,2,low,Low tweet rate
MeeraGhani,2,low,Low tweet rate
wordgeeksarah,2,low,Low tweet rate
wordgeeksarah,2,low,Low tweet rate
wordgeeksarah,2,low,Low tweet rate
wordgeeksarah,2,low,Low tweet rate
wordgeeksarah,2,low,Low tweet rate
wordgeeksarah,2,low,Low tweet rate
wordgeeksarah,2,low,Low tweet rate
girlonetrack,2,low,Low tweet rate
AdoreSocialM,2,low,Low tweet rate
LeFootPreview,2,low,Low tweet rate
LeFootPreview,2,low,Low tweet rate
Redriderr,2,low,Low tweet rate
alisonphipps,2,low,Low tweet rate
alisonphipps,2,low,Low tweet rate
alisonphipps,2,low,Low tweet rate
rapecrisisscot,2,low,Low tweet rate
rapecrisisscot,2,low,Low tweet rate
rapecrisisscot,2,low,Low tweet rate
rizzie_a,2,low,Low tweet rate
rizzie_a,2,low,Low tweet rate
rizzie_a,2,low,Low tweet rate
rizzie_a,2,low,Low tweet rate
inmywindow,2,low,Low tweet rate
inmywindow,2,low,Low tweet rate
inmywindow,2,low,Low tweet rate
inmywindow,2,low,Low tweet rate
inmywindow,2,low,Low tweet rate
inmywindow,2,low,Low tweet rate
inmywindow,2,low,Low tweet rate
1nothingspecial,1,low,Low tweet rate
1nothingspecial,1,low,Low tweet rate
1nothingspecial,1,low,Low tweet rate
FionaFletcher1,1,low,Low tweet rate
_LaDiabla,1,low,Low tweet rate
_LaDiabla,1,low,Low tweet rate
_LaDiabla,1,low,Low tweet rate
_LaDiabla,1,low,Low tweet rate
Hayrr,1,low,Low tweet rate
Hayrr,1,low,Low tweet rate
Hayrr,1,low,Low tweet rate
Hayrr,1,low,Low tweet rate
hungryhollowaii,1,low,Low tweet rate
hungryhollowaii,1,low,Low tweet rate
fatandblood,1,low,Low tweet rate
fatandblood,1,low,Low tweet rate
fatandblood,1,low,Low tweet rate
fatandblood,1,low,Low tweet rate
fatandblood,1,low,Low tweet rate
fatandblood,1,low,Low tweet rate
fatandblood,1,low,Low tweet rate
fatandblood,1,low,Low tweet rate
fatandblood,1,low,Low tweet rate
fullanarchy,1,low,Low tweet rate
fullanarchy,1,low,Low tweet rate
fullanarchy,1,low,Low tweet rate
fullanarchy,1,low,Low tweet rate
fullanarchy,1,low,Low tweet rate
LighthouseWAid,1,low,Low tweet rate
LighthouseWAid,1,low,Low tweet rate
LighthouseWAid,1,low,Low tweet rate
LighthouseWAid,1,low,Low tweet rate
scattermoon,1,low,Low tweet rate
scattermoon,1,low,Low tweet rate
scattermoon,1,low,Low tweet rate
scattermoon,1,low,Low tweet rate
scattermoon,1,low,Low tweet rate
scattermoon,1,low,Low tweet rate
scattermoon,1,low,Low tweet rate
Jamie__Lewis,1,low,Low tweet rate
Davebusfield,1,low,Low tweet rate
Davebusfield,1,low,Low tweet rate
Davebusfield,1,low,Low tweet rate
Davebusfield,1,low,Low tweet rate
MozzyMosquito,1,low,Low tweet rate
Scriptrix,1,low,Low tweet rate
Scriptrix,1,low,Low tweet rate
Scriptrix,1,low,Low tweet rate
Scriptrix,1,low,Low tweet rate
Scriptrix,1,low,Low tweet rate
Scriptrix,1,low,Low tweet rate
sophielour,1,low,Low tweet rate
sophielour,1,low,Low tweet rate
sophielour,1,low,Low tweet rate
sophielour,1,low,Low tweet rate
sophielour,1,low,Low tweet rate
sophielour,1,low,Low tweet rate
sophielour,1,low,Low tweet rate
Damian_Barr,1,low,Low tweet rate
Damian_Barr,1,low,Low tweet rate
Gally_Freya,1,low,Low tweet rate
Gally_Freya,1,low,Low tweet rate
smokingpeaches,1,low,Low tweet rate
smokingpeaches,1,low,Low tweet rate
WonderCaitlin,1,low,Low tweet rate
WonderCaitlin,1,low,Low tweet rate
110face,1,low,Low tweet rate
avigneswaren,1,low,Low tweet rate
avigneswaren,1,low,Low tweet rate
avigneswaren,1,low,Low tweet rate
